source_id,name,category,format,priority,url,focus,bias_note,last_verified
google-deepmind,Google DeepMind Blog,frontier-lab,blog,A,https://deepmind.google/blog/,frontier models science robotics and safety,first-party lab,2026-07-15
anthropic-news,Anthropic News,frontier-lab,blog,A,https://www.anthropic.com/news,models agents safety and policy,first-party lab,2026-07-15
meta-ai,Meta AI Blog,open-models,blog,B,https://ai.meta.com/blog/,Llama open models research and infrastructure,first-party lab,2026-07-15
mistral-news,Mistral AI News,frontier-lab,blog,B,https://mistral.ai/news,European models agents and deployment,first-party lab,2026-07-15
cohere-research,Cohere Research,frontier-lab,research,B,https://cohere.com/research,enterprise models retrieval and multilingual AI,first-party lab,2026-07-15
huggingface-papers,Hugging Face Daily Papers,research-feed,daily,A,https://huggingface.co/papers,daily papers linked to models datasets and demos,community ranking effects,2026-07-15
arxiv-cs-ai,arXiv Artificial Intelligence,research-feed,daily,A,https://arxiv.org/list/cs.AI/recent,primary preprints across artificial intelligence,not peer reviewed,2026-07-15
stanford-ai-index,Stanford AI Index,ecosystem-measurement,annual,A,https://hai.stanford.edu/ai-index,capabilities investment adoption policy and societal impact,academic synthesis,2026-07-15
epoch-ai,Epoch AI,ecosystem-measurement,research,A,https://epoch.ai/,compute trends model capabilities and forecasting,research organization assumptions,2026-07-15
metr,METR,evaluation-safety,research,A,https://metr.org/,agent task horizons evaluations and frontier risk,risk-focused nonprofit,2026-07-15
nist-airc,NIST AI Resource Center,governance-standards,guidance,A,https://airc.nist.gov/,AI RMF testing evaluation verification and validation,US voluntary framework,2026-07-15
aaif,Agentic AI Foundation,agent-standards,foundation,A,https://aaif.io/,MCP AGENTS.md goose and interoperable agent infrastructure,member-driven foundation,2026-07-15
eu-ai-act,European Commission AI Act Service Desk,regulation,guidance,A,https://ai-act-service-desk.ec.europa.eu/,official EU AI Act obligations timeline and compliance,EU regulatory source,2026-07-15
oecd-ai,OECD AI Observatory,policy-data,research,B,https://oecd.ai/,international AI policy indicators and incident monitoring,intergovernmental lens,2026-07-15
un-ai-panel,UN Independent International Scientific Panel on AI,global-governance,research,B,https://www.un.org/independent-international-scientific-panel-ai,global capability risk and governance assessments,intergovernmental process,2026-07-15
mlcommons,MLCommons,benchmarks,standards,A,https://mlcommons.org/,training inference safety and application benchmarks,industry consortium,2026-07-15
